,d,net,minPFE,optM,stats,pFE,M,mPFE
0,100,"MLPClassifier(hidden_layer_sizes=(8,), max_iter=10000)",0.17000000000000004,8,,0.22364,[ 1  2  3  4  5  6  7  8  9 10],[0.42 0.28 0.19 0.17 0.15 0.15 0.15 0.13 0.14 0.14]
1,500,"MLPClassifier(hidden_layer_sizes=(8,), max_iter=10000)",0.12,8,,0.16443,[ 1  2  3  4  5  6  7  8  9 10],[0.312 0.184 0.136 0.134 0.116 0.122 0.126 0.114 0.122 0.122]
2,1000,"MLPClassifier(hidden_layer_sizes=(4,), max_iter=10000)",0.14800000000000002,4,,0.16132,[ 1  2  3  4  5  6  7  8  9 10],[0.333 0.196 0.148 0.14  0.141 0.143 0.141 0.142 0.147 0.142]
3,5000,"MLPClassifier(hidden_layer_sizes=(9,), max_iter=10000)",0.14359999999999995,9,,0.15266,[ 1  2  3  4  5  6  7  8  9 10],[0.3314 0.188  0.1436 0.1432 0.1418 0.142  0.1406 0.1402 0.1384 0.1392]
4,10000,"MLPClassifier(hidden_layer_sizes=(9,), max_iter=10000)",0.15469999999999995,9,,0.15165,[ 1  2  3  4  5  6  7  8  9 10],[0.3474 0.2065 0.1521 0.1512 0.1515 0.1515 0.1509 0.1507 0.1505 0.1507]
